fixture,family,vector,input_param,bits,count,addr,tx,l1_batch,gas_used,ok
900301,modexp,modexp_exp1b,exp_bytes=1,8,12000,0x0000000000000000000000000000000000000005,0x51a734a6229027f60db00e1ed8b41de32ae2372d68fd432e1778b5df70abaf4b,1227,69523001,ok
900302,modexp,modexp_exp4b,exp_bytes=4,32,12000,0x0000000000000000000000000000000000000005,0x47bfd3ab558b9be5b3e5cb7663b3d9f8971ba8011151e58b0ccecfbaab79da9b,1228,69523001,ok
900303,modexp,modexp_exp8b,exp_bytes=8,64,12000,0x0000000000000000000000000000000000000005,0xdb86ebead34dfe3a9f48d9ac237c8b8a7d7b3536d0e91e007bea1c584e956767,1229,69523001,ok
900304,modexp,modexp_exp16b,exp_bytes=16,128,12000,0x0000000000000000000000000000000000000005,0x6e1922b9f6b8d66cb0a37bfeb6cf94490e89fc350e806b065ed212daeb185143,1230,69522995,ok
900305,modexp,modexp_exp32b,exp_bytes=32,256,12000,0x0000000000000000000000000000000000000005,0xa662b4b1f4741463c059ea8aa41fbe13ac25235b5920d0c1d186131bce1c55cb,1231,69078952,ok
900306,modexp,modexp_old_0x03x4,exp_bytes=4_0x03,26,12000,0x0000000000000000000000000000000000000005,0xda7a40134f350cb3d5c16f248e4d08a375c1c3ba230b5f34c90450a011fd12ec,1232,69522995,ok
900307,ecmul,ecmul_s3,scalar_bits=3,3,8000,0x0000000000000000000000000000000000000007,0xb0cdeab35aecd021ee48e56260adfbf0ef672119e25eebf13f29436f8ab8aa38,1233,49262430,ok
900308,ecmul,ecmul_s32,scalar_bits=32,32,8000,0x0000000000000000000000000000000000000007,0xa87a1c0f174d72a2030b7d037aa1189fd9cda4af71087fe5f044d301b9c5b255,1234,49262424,ok
900309,ecmul,ecmul_s64,scalar_bits=64,64,8000,0x0000000000000000000000000000000000000007,0xbd60753a5f3b773b5cb20d7c2e725dbbedf02bcd8d28084ce6f06065de3df3af,1235,49262430,ok
900310,ecmul,ecmul_s128,scalar_bits=128,128,8000,0x0000000000000000000000000000000000000007,0xc94370f137ab7e8f324172c7db9af6df392f545c7e723217ad70e3e7f7b1a1a3,1236,49262430,ok
900311,ecmul,ecmul_smax,scalar_bits=254,254,8000,0x0000000000000000000000000000000000000007,0xfa91d22e2a923c08a18fea7d6cf8cdd047eef6ab74e5c9ad77893f2f1d65c06d,1237,49262424,ok
900312,ecadd,ecadd_gg,class=G+G_double,0,60000,0x0000000000000000000000000000000000000006,0x4f80146ddb53be6a1934153f8fd32855e44d66cef0d49d3355115b27d1e8d3e8,1238,56946552,ok
900313,ecadd,ecadd_distinct,class=2G+3G_generic,0,60000,0x0000000000000000000000000000000000000006,0xc175798bd12ea881c534844de90c0a72f978b4865cb9fb1704b64c27246663bd,1239,56946558,ok
900314,ecadd,ecadd_identity,class=2G+O_identity,0,60000,0x0000000000000000000000000000000000000006,0xfc11b90f8db68db4cd515ee19f41a03cd5f6b9d77b08e5885920f13b6283dbb5,1240,56946552,ok
900315,ecrecover,ecrecover_a,class=v27_r254bit,254,8000,0x0000000000000000000000000000000000000001,0x7e463bdec4fba59da374752737643276ae61146b4e7442b984ada20f41ce0daa,1241,62526508,ok
900316,ecrecover,ecrecover_b,class=v28_r248bit_zeroL,248,8000,0x0000000000000000000000000000000000000001,0xab72e3c29dc03901bdef6e84301932d65b0ce934281ead5815eab71e81f8d36f,1242,62526508,ok
900317,secp256r1,secp256r1_a,class=r255bit,255,5000,0x0000000000000000000000000000000000000100,0xfe2f2628c17d1d06f58a19b6924608bde21239f931a54917cda9163cbf1d4d95,1243,64351583,ok
900318,secp256r1,secp256r1_b,class=r248bit_zeroL,248,5000,0x0000000000000000000000000000000000000100,0x8b34f083fe8ebf02e32fefc163fa58f698d52eb430761226b002afae37a2f2cc,1244,64351702,ok
