fixture,family,tier,intended_axis,axis_count,decommit,decommit_cycles,target_bytes,M,ergs_used,pubdata,real_l1_batch,bytes,status
900201,deploy,blob24k,decommit_cycles,5457,0,5457,14240,0,1512236,11558,1176,269101,ok
900202,deploy,blob64k,decommit_cycles,5779,0,5779,34848,0,3359881,27127,1177,314537,ok
900203,deploy,blob128k,decommit_cycles,7315,0,7315,133152,0,10548782,84583,1178,442489,ok
900204,deploy,blob256k,decommit_cycles,10387,0,10387,329760,0,24913973,199367,1179,680238,ok
900205,deploy,hammer,decommit_cycles,5287,0,5287,3360,0,536187,unmeasured,1180,252110,"DecommitHammer deploy. This was the FIRST hammer, built against the wrong CodeOracle address (0x8011); the working hammer used for every dc_* family below is 0xA55933E8d38fFDB6be9a9D8ebd57908E960cb861. Kept only as a small (3,360 B) fresh-decommit reference point."
900206,dc_cached_24k,t1,decommit,1000,1000,4963,14240,1000,1416409,87,1201,248544,ok
900207,dc_cached_24k,t2,decommit,4000,4000,4963,14240,4000,5255692,87,1202,248216,ok
900208,dc_cached_24k,t3,decommit,16000,16000,4963,14240,16000,20615692,31,1203,248625,ok
900209,dc_cached_24k,ctrl,decommit,16000,16000,4793,3360,16000,20613884,30,1204,245759,ok
900210,dc_cached_128k,t1,decommit,150,150,6821,133152,150,342544,30,1205,262811,ok
900211,dc_cached_128k,t2,decommit,600,600,6821,133152,600,918556,31,1206,262753,ok
900212,dc_cached_128k,t3,decommit,2400,2400,6821,133152,2400,3222556,31,1207,263208,ok
900213,dc_cached_128k,ctrl,decommit,2400,2400,4793,3360,2400,3205884,30,1208,244602,ok
900214,dc_raw_256k,t1,decommit,60,60,9893,329760,60,251484,30,1209,288428,ok
900215,dc_raw_256k,t2,decommit,240,240,9893,329760,240,481884,30,1210,288369,ok
900216,dc_raw_256k,t3,decommit,960,960,9893,329760,960,1403496,31,1211,289246,ok
900217,dc_raw_256k,ctrl,decommit,960,960,4963,14240,960,1363967,24,1212,247346,ok
900218,dc_fresh,t1,decommit_cycles,4963,1,4963,14240,1,136602,30,1213,247250,ok
900219,dc_fresh,t2,decommit_cycles,6821,1,6821,133152,1,151389,24,1214,262586,ok
900220,dc_fresh,t3,decommit_cycles,9893,1,9893,329760,1,175965,24,1215,286693,ok
900221,dc_fresh,ctrl,decommit_cycles,12742,4,12742,511904,4,208954,30,1216,319420,ok
