fixture,family,tier,intended_axis,input_param,swept_unit,swept_value,unit_count,axis_count,storage_read,storage_write,storage_application,merkle_leaf_count,state_diff_count,event,far_call,precompile_call,arith_ptr_op,uma_read,uma_write,keccak256_cycles,ergs_used,pubdata,n_txs,real_l1_batch,bytes,status
900301,modexp,exp_bytes=1,mod_exp_cycles,exp_bytes=1,exponent_bits,8,12000,12000,35,23,63,54,11,13,12065,12027,132304,120520,72662,31,69523001,265,1,1227,244453,ok
900302,modexp,exp_bytes=4,mod_exp_cycles,exp_bytes=4,exponent_bits,32,12000,12000,35,23,63,54,10,13,12065,12027,132304,120520,72662,31,69523001,260,1,1228,243910,ok
900303,modexp,exp_bytes=8,mod_exp_cycles,exp_bytes=8,exponent_bits,64,12000,12000,35,23,63,54,10,13,12065,12027,132304,120520,72662,31,69523001,260,1,1229,243700,ok
900304,modexp,exp_bytes=16,mod_exp_cycles,exp_bytes=16,exponent_bits,128,12000,12000,35,23,63,54,10,13,12065,12027,132304,120520,72662,31,69522995,260,1,1230,243550,ok
900305,modexp,exp_bytes=32,mod_exp_cycles,exp_bytes=32,exponent_bits,256,12000,12000,35,23,63,54,10,13,12065,12027,132303,108519,72662,31,69078952,260,1,1231,243929,ok
900306,modexp,exp_bytes=4_0x03,mod_exp_cycles,exp_bytes=4_0x03,exponent_bits,26,12000,12000,35,23,63,54,10,13,12065,12027,132304,120520,72662,31,69522995,260,1,1232,243673,ok
900307,ecmul,scalar_bits=3,ec_mul_cycles,scalar_bits=3,scalar_bits,3,8000,8000,35,23,63,54,10,13,8065,8027,8303,64510,56653,30,49262430,260,1,1233,243241,ok
900308,ecmul,scalar_bits=32,ec_mul_cycles,scalar_bits=32,scalar_bits,32,8000,8000,35,23,63,54,10,13,8065,8027,8303,64510,56653,30,49262424,260,1,1234,243333,ok
900309,ecmul,scalar_bits=64,ec_mul_cycles,scalar_bits=64,scalar_bits,64,8000,8000,35,23,63,54,10,13,8065,8027,8303,64510,56653,30,49262430,260,1,1235,243272,ok
900310,ecmul,scalar_bits=128,ec_mul_cycles,scalar_bits=128,scalar_bits,128,8000,8000,35,23,63,54,10,13,8065,8027,8303,64510,56653,30,49262430,260,1,1236,243249,ok
900311,ecmul,scalar_bits=254,ec_mul_cycles,scalar_bits=254,scalar_bits,254,8000,8000,35,23,63,54,10,13,8065,8027,8303,64510,56653,30,49262424,260,1,1237,243134,ok
900312,ecadd,class=G+G_double,ec_add_cycles,class=G+G_double,input_class,0,60000,60000,35,23,63,54,10,13,60065,60027,60303,540513,480656,30,56946552,260,1,1238,244188,ok
900313,ecadd,class=2G+3G_generic,ec_add_cycles,class=2G+3G_generic,input_class,0,60000,60000,35,23,63,54,10,13,60065,60027,60303,540513,480656,30,56946558,260,1,1239,243967,ok
900314,ecadd,class=2G+O_identity,ec_add_cycles,class=2G+O_identity,input_class,0,60000,60000,35,23,63,54,10,13,60065,60027,60303,540513,480656,30,56946552,260,1,1240,243340,ok
900315,ecrecover,class=v27_r254bit,ec_recover_cycles,class=v27_r254bit,signature_class,254,8000,8001,35,23,62,53,10,13,8065,8027,32303,64513,56656,30,62526508,260,1,1241,243275,ok (+1 bootloader tx-sig recover)
900316,ecrecover,class=v28_r248bit_zeroL,ec_recover_cycles,class=v28_r248bit_zeroL,signature_class,248,8000,8001,35,23,62,53,10,13,8065,8027,32303,64513,56656,30,62526508,260,1,1242,243132,ok (+1 bootloader tx-sig recover)
900317,secp256r1,class=r255bit,secp256r1_verify_cycles,class=r255bit,signature_class,255,5000,5000,35,23,63,54,10,13,5065,5027,5303,50513,40657,30,64351583,260,1,1243,243989,ok
900318,secp256r1,class=r248bit_zeroL,secp256r1_verify_cycles,class=r248bit_zeroL,signature_class,248,5000,5000,35,23,63,54,10,13,5065,5027,5303,50516,40659,30,64351702,260,1,1244,243851,ok
900319,keccak256,calls@32B=8000,keccak256_cycles,calls@32B=8000,rounds_per_call,1,8000,8029,35,23,62,53,10,13,8065,8027,8303,24504,24647,8029,6054090,260,1,1249,242401,ok (incl. 2x tx-calldata hash + organic)
900320,keccak256,calls@32B=30000,keccak256_cycles,calls@32B=30000,rounds_per_call,1,30000,30029,35,23,62,53,10,13,30065,30027,30303,90504,90647,30029,22356090,260,1,1250,243391,ok (incl. 2x tx-calldata hash + organic)
900321,keccak256,calls@32B=60000,keccak256_cycles,calls@32B=60000,rounds_per_call,1,60000,60029,35,23,62,53,10,13,60065,60027,60303,180504,180647,60029,44586090,260,1,1251,243742,ok (incl. 2x tx-calldata hash + organic)
900322,keccak256,calls@32B=95000,keccak256_cycles,calls@32B=95000,rounds_per_call,1,95000,95029,35,23,62,53,10,13,95065,95027,95303,285504,285647,95029,70521090,260,1,1252,243312,ok (incl. 2x tx-calldata hash + organic)
900323,keccak256,input_bytes=32,keccak256_cycles,input_bytes=32,rounds_per_call,1,3200,3229,35,23,62,53,10,13,3265,3227,3503,10104,10247,3229,2497290,258,1,1253,242672,ok (incl. 2x tx-calldata hash + organic)
900324,keccak256,input_bytes=1024,keccak256_cycles,input_bytes=1024,rounds_per_call,8,3200,25643,35,23,62,53,10,13,3265,3227,3503,10197,10340,25643,3397812,260,1,1254,243227,ok (incl. 2x tx-calldata hash + organic)
900325,keccak256,input_bytes=8192,keccak256_cycles,input_bytes=8192,rounds_per_call,61,3200,195349,35,23,62,53,10,13,3265,3227,3503,10869,11012,195349,10214730,260,1,1255,245133,ok (incl. 2x tx-calldata hash + organic)
900326,keccak256,input_bytes=65536,keccak256_cycles,input_bytes=65536,rounds_per_call,482,3200,1543392,35,23,62,53,10,13,3265,3227,3503,16245,16388,1543392,64376636,260,1,1247,252986,ok (incl. 2x tx-calldata hash + organic)
900327,sha256,calls@32B=8000,sha256_cycles,calls@32B=8000,rounds_per_call,1,8000,8000,35,23,63,54,10,13,8065,8027,16303,32504,48647,29,6734182,260,1,1256,243619,ok
900328,sha256,calls@32B=30000,sha256_cycles,calls@32B=30000,rounds_per_call,1,30000,30000,35,23,63,54,10,13,30065,30027,60303,120504,180647,29,24906176,260,1,1257,244135,ok
900329,sha256,calls@32B=60000,sha256_cycles,calls@32B=60000,rounds_per_call,1,60000,60000,35,23,63,54,10,13,60065,60027,120303,240504,360647,29,49686176,260,1,1258,244366,ok
900330,sha256,calls@32B=88000,sha256_cycles,calls@32B=88000,rounds_per_call,1,88000,88000,35,23,63,54,10,13,88065,88027,176303,352504,528647,29,72814182,260,1,1259,244003,ok
900331,sha256,input_bytes=32,sha256_cycles,input_bytes=32,rounds_per_call,1,900,900,35,23,63,54,10,13,965,927,2103,4104,6047,29,869582,258,1,1260,243505,ok
